x,hart
2397,2028
2398,2024
2399,2033
2400,2033
2401,2044
2402,2044
2403,2022
2404,2036
2405,2036
2406,2051
2407,2044
2408,2044
2409,2043
2410,2070
2411,2070
2412,2055
2413,2049
2414,2049
2415,2056
2416,2046
2417,2046
2418,2052
2419,2052
2420,2052
2421,2043
2422,2043
2423,2044
2424,2031
2425,2031
2426,2023
2427,2040
2428,2040
2429,2031
2430,2002
2431,2002
2432,2012
2433,2012
2434,2012
2435,2005
2436,2024
2437,2024
2438,2027
2439,2014
2440,2014
2441,2011
2442,2011
2443,2014
2444,2024
2445,2024
2446,2025
2447,2017
2448,2017
2449,2023
2450,2005
2451,2005
2452,1996
2453,2016
2454,2016
2455,2029
2456,2046
2457,2046
2458,2069
2459,2069
2460,2101
2461,2150
2462,2150
2463,2208
2464,2257
2465,2257
2466,2341
2467,2440
2468,2440
2469,2517
2470,2582
2471,2582
2472,2601
2473,2536
2474,2536
2475,2395
2476,2243
2477,2243
2478,2107
2479,2107
2480,2005
2481,1911
2482,1911
2483,1865
2484,1854
2485,1854
2486,1827
2487,1836
2488,1836
2489,1844
2490,1837
2491,1837
2492,1851
